A_PRGID,A_USERID,A_SYSDT,U_PRGID,U_USERID,U_SYSDT,CARD_TYPE,CARD_VERSION,COLUNM,LEVEL1,LEVEL2_S,LEVEL2_E,SCORE
滿期5年以上卡,IT,2019-11-27 08:52:30.537,滿期5年以上卡,21251,2019-11-27 08:52:36.257,E5,1,CO_NUM_NM,"臺東縣       ",NULL,NULL,25
滿期5年以上卡,IT,2019-11-27 08:52:30.537,滿期5年以上卡,21251,2019-11-27 08:52:36.257,E5,1,CO_NUM_NM,"花蓮縣       ",NULL,NULL,45
滿期5年以上卡,IT,2019-11-27 08:52:30.537,滿期5年以上卡,21251,2019-11-27 08:52:36.257,E5,1,CO_NUM_NM,"苗栗縣       ",NULL,NULL,31
滿期5年以上卡,IT,2019-11-27 08:52:30.537,滿期5年以上卡,21251,2019-11-27 08:52:36.257,E5,1,CO_NUM_NM,"連江縣       ",NULL,NULL,1
滿期5年以上卡,IT,2019-11-27 08:52:30.537,滿期5年以上卡,21251,2019-11-27 08:52:36.257,E5,1,CO_NUM_NM,"金門縣       ",NULL,NULL,1
滿期5年以上卡,IT,2019-11-27 08:52:30.537,滿期5年以上卡,21251,2019-11-27 08:52:36.257,E5,1,CO_NUM_NM,"雲林縣       ",NULL,NULL,45
滿期5年以上卡,IT,2019-11-27 08:52:30.537,滿期5年以上卡,21251,2019-11-27 08:52:36.257,E5,1,CO_NUM_NM,"高雄市       ",NULL,NULL,25
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CO_NUM_NM,"澎湖縣       ",NULL,NULL,56
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CO_NUM_NM,"臺北市       ",NULL,NULL,56
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CO_NUM_NM,"臺中市       ",NULL,NULL,25
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CO_NUM_NM,"臺南市       ",NULL,NULL,25
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CO_NUM_NM,"臺南縣       ",NULL,NULL,25
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CO_NUM_NM,"臺東縣       ",NULL,NULL,28
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CO_NUM_NM,"花蓮縣       ",NULL,NULL,28
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CO_NUM_NM,"苗栗縣       ",NULL,NULL,17
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CO_NUM_NM,"連江縣       ",NULL,NULL,56
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CO_NUM_NM,"金門縣       ",NULL,NULL,56
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CO_NUM_NM,"雲林縣       ",NULL,NULL,25
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CO_NUM_NM,"高雄市       ",NULL,NULL,25
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,HPOST_NUM_NM,"南投縣       ",NULL,NULL,28
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,HPOST_NUM_NM,"嘉義市       ",NULL,NULL,29
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,HPOST_NUM_NM,"嘉義縣       ",NULL,NULL,29
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,HPOST_NUM_NM,"基隆市       ",NULL,NULL,29
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,HPOST_NUM_NM,"宜蘭縣       ",NULL,NULL,30
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,HPOST_NUM_NM,"屏東縣       ",NULL,NULL,28
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,HPOST_NUM_NM,"彰化縣       ",NULL,NULL,28
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,HPOST_NUM_NM,"新北市       ",NULL,NULL,27
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,HPOST_NUM_NM,"新竹市       ",NULL,NULL,29
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,HPOST_NUM_NM,"新竹縣       ",NULL,NULL,29
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,HPOST_NUM_NM,"桃園市       ",NULL,NULL,28
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,HPOST_NUM_NM,"澎湖縣       ",NULL,NULL,30
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,HPOST_NUM_NM,"臺北市       ",NULL,NULL,27
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,HPOST_NUM_NM,"臺中市       ",NULL,NULL,27
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,HPOST_NUM_NM,"臺南市       ",NULL,NULL,28
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,HPOST_NUM_NM,"臺南縣       ",NULL,NULL,28
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,HPOST_NUM_NM,"臺東縣       ",NULL,NULL,30
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,HPOST_NUM_NM,"花蓮縣       ",NULL,NULL,30
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,HPOST_NUM_NM,"苗栗縣       ",NULL,NULL,27
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,HPOST_NUM_NM,"連江縣       ",NULL,NULL,30
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,HPOST_NUM_NM,"金門縣       ",NULL,NULL,30
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,HPOST_NUM_NM,"雲林縣       ",NULL,NULL,28
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,HPOST_NUM_NM,"高雄市       ",NULL,NULL,28
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CPOST_NUM_NM,"南投縣       ",NULL,NULL,21
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CPOST_NUM_NM,"嘉義市       ",NULL,NULL,31
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CPOST_NUM_NM,"嘉義縣       ",NULL,NULL,31
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CPOST_NUM_NM,"基隆市       ",NULL,NULL,35
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CPOST_NUM_NM,"宜蘭縣       ",NULL,NULL,35
滿期卡,IT,2019-09-04 09:44:04.980,滿期卡,21251,2019-11-27 08:52:36.257,E,1,PROJECT_TP,NULL,41,41,17
電銷中結卡,IT,2019-09-04 10:19:44.953,電銷中結卡,IT,2019-09-04 10:19:44.953,S,1,EDUCAT_BACK,NULL,08,99,12
電銷中結卡,IT,2019-09-04 10:19:44.953,電銷中結卡,IT,2019-09-04 10:19:44.953,S,1,EDUCAT_BACK,NULL,00,00,12
滿期卡,IT,2019-09-04 09:44:04.980,滿期卡,IT,2019-09-04 09:44:04.980,E,1,CAR_YEAR,NULL,12,99,34
